id,question,answer,
0,碧冬茄的科属,茄科碧冬茄属的杂交种,
0,碧冬茄的用处,常见的园艺植物,
1,阿拉伯婆婆纳的产地,欧亚大陆。欧洲、南欧、西亚、喜马拉雅山及亚洲。中国西南、华东至华北，包含浙江、陕西及长江流域、日本各地有归化山野自生、台湾全境冬至春季平野至中海拔阴湿地成群自生，宜兰、台北、台中、南投、嘉义，海岸至海拔 2,200 公尺荒地，算是归化种。
1,阿拉伯婆婆纳的名字出处,明代《救荒本草》这本书，作者是朱元璋第五子周定王朱，组织王府中的学者共同编写而成。,
1,阿拉伯婆婆纳的药用价值,不含毒性，所以全草都可以入药。有跌打损伤、祛风散热、消肿解毒，主治:肾虚、风湿、痢疾、疥疮、乳腺炎、阴囊肿大、痈疮肿毒。,
2,玉兰的产地,中国中部山野，现世界各地庭园常见栽培，是上海市市花。,
2,玉兰的习性,喜光，稍耐荫，颇耐寒，北京地区于背风向阳处能露地过冬。喜肥沃适当湿润而排水良好的酸性土壤（pH5～6），但亦能生长于碱性土（pH7～8）中。,
2,玉兰的用处,花瓣质厚而清香，可裹面油煎食用，又可糖渍，香甜可口。种子可榨油，树皮可入药，木材可供制小器具或雕刻用。,
3,印度榕的产地,印度榕原产锡金、印度东北部、缅甸、马来西亚北部、印度尼西亚（苏门答腊、爪哇）等地。,
3,印度榕的用处,含有白色黏液的乳汁，所以成为早期橡胶的来源,
4,八仙花的别名,绣球花、八仙花、草绣球、紫阳花,
4,八仙花的特征,一种常见的园艺装饰花，花色一般包括红蓝紫色,
4,八仙花的用处,可作为天然的酸碱指示剂，其在酸性的土壤偏向青色、中性~碱性的土壤则偏向红色。,
5,八角金盘的原产地,日本南部,
5,八角金盘的用处,常见的观赏植物，在冬天温度不低于零下十五摄氏度的地区都可以生存。已被证实可去除室内甲醛。,
6,白车轴草的产地,产自欧洲、北非及西亚,
6,白车轴草的特征,矮生，有白色的花朵，很多时有些粉红色或黄白色，多数密集成头状，花冠一般阔1.5-2厘米，末端有长7厘米的花梗。复叶呈三小叶，呈椭圆形至倒卵形，缘有细齿，及有长柄。茎无毛,
6,白车轴草的用处,是自然或有机草地护理的有益媒介，因为它们有固氮的能力，并比野草优胜。天然固氮可以减低土壤的淋泸，及预防一些疾病。,
7,木的产地,中国大陆南部和西南部以及日本、东南亚、印度东北部等地，生长于海拔450－1500米的地区，多见于向阳的丘陵及山地，亦常出现在马尾松林及杉林下。,
7,木的特征,常绿灌木，有时为小乔木；木有两个变种，原变种花白或淡黄色，叶绿色；红花木花粉至红色，新生叶铜红色，老叶橄榄绿或酒红色，老叶的颜色与育种和生长状况有关。白花变种植株最高可达3.7米，而粉花至红花变种一般只有1.5米高。冠幅1.8－2.4米，常绿灌木，罕有小乔木，分支形成平层，单叶互生，卵圆形，先端急尖，基部圆滑收缩，长2－5厘米，宽1.5－3.5厘米，叶面有磨砂感，花瓣4枚，线形；花两性，3－8朵簇生；木质蒴果，有星状毛；种子长卵形，长4－5毫米。,
7,木的用处,叶、花、果实可入药，能解热、止血，通经活络；枝叶可提取栲胶，种子可榨油。,
8,白兰的特征,白兰花的幼枝及芽呈绿色，密披微柔毛。叶浅绿色，互生，长椭圆形而先端较尖，革质，表皮无毛，长约10－20厘米，宽4－9.5厘米，面无毛，底疏生微柔毛。,
8,白兰的用处,中国南方妇女常摘取花朵来佩戴在身，也可提取香精或熏茶；在云南等地它还被俗称为“缅桂花”。,
9,百合竹的别名,金黄竹蕉、短叶竹蕉、曲叶龙血树。,
10,彩叶草的产地,东南亚和马来西亚,
10,彩叶草的习性,喜欢半荫环境，虽然可以容忍阳光直射。它们不容忍霜冻。,
10,彩叶草的用处,其根含丰富的环磷酸腺苷，可入药，或用于生产减肥食品。,
11,长寿花的原产地,非洲的马达加斯加,
11,长寿花的特征,株高40厘米，叶圆形或椭圆形，深绿色，叶片边缘为钝齿状，长约二至八厘米，肉质叶的边缘略带红色，叶面光亮，终年常绿。对生花簇生，原种花为单瓣红色，但人工培育的花色多，有红、橙、黄、紫等多种颜色,
11,长寿花的虫害,蚜虫、西方花蓟马、介壳虫、仙客来螨、卷叶虫和蕈蚊幼虫。蚜虫会造成长寿花严重的伤害，尤其在冬天和初春时期。,
12,石斛属的分布,亚洲和大洋洲热带地区,
12,石斛属的用处,具有观赏和药用价值,
13,葱兰的特征,地下鳞茎，直径约2.5厘米，具明显的颈部。基生线形叶，长20到30厘米，宽2到4毫米。花茎中空，花单生于花茎顶部。下有带褐红色的佛焰苞状总苞片，总苞片顶端2裂。花梗藏于苞片内，长约1厘米。夏秋开白花，外面常带淡红色，花被漏斗状，几无花被管，花被片6，长3到5厘米，顶端钝或具短尖头，宽约1厘米，近喉部常有很小的鳞片。雄蕊6，长约为花被的一半。花柱细长，柱头微3裂。蒴果近球形，直径约1.2厘米，3瓣开裂。种子黑色，扁平。,
13,葱兰的分布,南美洲以及中国大陆的上海、广东、湖北、江苏、浙江等地,
14,黄花酢浆草的种属,酢浆草科酢浆草属下的一个种,
15,红花酢浆草的特征,地下有小鳞茎，用鳞茎繁殖。茎和叶含草酸，有酸味；复叶由3片阔倒卵形小叶组成，叶尖凹缺；夏季开紫红色花，在总梗上排列成伞状花序；短线形蒴果有毛，成熟时裂开。株高约35厘米。叶长约3.5厘米。,
15,红花酢浆草的分布,南美洲，中国大陆南北都有栽培。,
15,红花酢浆草的生长环境,耕地边、疏林、路边和荒地或栽种于庭园,
15,红花酢浆草的用处,清热解毒、散瘀消肿之效。全株都可食用，主根洗净去皮除了可生吃，也可煮汤或炒肉丝；叶片微酸，常被用来盐渍做为小菜；花则可炒食，也可加面糊油炸。,
16,打碗花的分布,埃塞俄比亚、亚洲、马来亚以及中国大陆的全国各地等地，生长于海拔100米至3,500米的地区
16,打碗花的用处,根状茎富含淀粉，可供使用、酿酒、制饴糖；花及根状茎可入药，花止痛，根状茎能调经活血、健脾益气；全草可作饲料,
17,紫薇的特征,紫薇与九芎非常相像，树干都十分光滑, 同属于千屈菜科。落叶小乔木；新生树皮后旧皮脱落，故树干光滑；紫薇花从白到红都有
17,紫薇的用处,树型不高，所以非常适宜作为庭院观赏树和街道绿化树,
18,大i的分布,全球热带、亚热带以及中国的浙江、安徽、广东、广西、山东、云南、福建、四川、湖北、江苏、湖南等地,
18,大i的生长环境,海拔200米至1,900米的地区，常生于沟渠中、沟渠边、静水中、湖边、稻田中、流水中、稻田边和溪边
19,大叶黄杨的特征,小枝具四棱，枝叶密生，树冠球形。倒卵形或椭圆形叶片对生，边缘具钝锯齿，表面深绿色，有光泽。夏季开绿白色花，聚伞花序腋生，具长梗。扁球形淡红色蒴果，裂开；种子有桔红色假种皮。,
19,大叶黄杨的分布,中国大陆的湖南、江西、广西、贵州、广东等地,
19,大叶黄杨的生长环境,海拔500米至1400米的地区，常生长在河岸、山地、山谷以及山坡林下,
20,倒挂金钟的习性,性喜凉爽湿润的环境，怕高温与强光。,
20,倒挂金钟的用处,花色艳丽，花形奇特，且花期长，适做盆花观赏,
21,稻槎菜的分布,朝鲜、日本以及中国大陆的湖南、江苏、广西、安徽、陕西、福建、江西、广东、浙江、云南等地,
21,稻槎菜的生长环境,海拔500米至2,500米的地区，常生于田野、荒地和路边
22,吊竹梅的分布,原生于墨西哥与中美地带，如今在亚洲、非洲、澳洲、南美洲等地都已普及,
22,吊竹梅的用处,适宜吊盆栽植，因而得名。吊竹梅的观赏重点在于它美丽多彩的叶子。银灰色系至灰绿色系的叶片上布有各种色调的紫色系斑纹，非常耀眼。全草有毒，但具药用价值。,
22,吊竹梅的生长环境,性喜高温潮岬幕肪常全日照或是半日照都能生长,
23,兜兰的分布,中国大陆南方、印度、东南亚及大洋洲诸岛,
23,兜兰的品种,麻栗坡拖鞋兰、长瓣拖鞋兰、虎斑拖鞋兰、卷萼拖鞋兰、紫纹拖鞋兰、同色拖鞋兰、越南拖鞋兰等,
24,豆瓣绿的别名,翡翠椒草（）、碧玉、一柱香、岩豆瓣、豆瓣草、豆瓣如意、四瓣金钗、指甲草、豆瓣打不死,
24,豆瓣绿的分布,亚、非、澳洲和纽西兰,
25,鹅掌柴的特征,常绿乔木或灌木。掌状复叶，椭圆形小叶6～9枚。冬季开白色花，伞房花序聚生成大型圆锥花序。暗紫色球形果实。,
25,鹅掌柴的分布,台湾以及中国大陆的广东、广西等地,
25,鹅掌柴的生长环境,海拔400米至900米的地区，见于谷地密林下、溪边较湿润处和树上,
26,一年蓬的特征,茎直立，有微毛；茎生叶为披针形或线状披针形，基生叶呈莲座状，花开后枯萎；头状花序排列成伞房状，秋季开花，外围两层白色或略带淡紫色的舌状花，中央为黄色管状花，两性,
26,一年蓬的分布,原产北美洲，后来被引入世界其他地区,
26,一年蓬的用处,可入药，功能止泻、消食、止血，主治急性胃肠炎、消化不良、尿血等症,
27,葡萄的用处,可以生吃，其色美、气香、味可口，西方主要用来酿造葡萄酒，东方则是习惯直接食用并培育出口感较佳的品种。葡萄还可以用以生产果酱、果汁、果冻、葡萄籽精华素、葡萄干、醋、葡萄籽油,
27,葡萄的名字的由来,「葡萄」一词源自古大宛语，相当于今伊朗语。「葡萄」一词成为正式名称以前，曾有多种书写形式，《史记》和《汉书》中称为蒲陶、《后汉书》里开始称为葡萄、《魏书》里使用的是蒲萄。唐、金、明时用过蒲桃，金代诗人元好问撰《葡桃酒赋》称为葡桃，明李时珍《本草纲目》和徐光启《农政全书》中均称为葡萄。,
28,风信子的分布,亚洲西南部、土耳其南部和中部、叙利亚西北部、黎巴嫩和以色列北部，在16世纪引种到欧洲。,
28,风信子的特征,地下具有球形鳞茎，直径3－7厘米；披针形叶子厚，肉质质软，长15－35厘米，宽1－3厘米，螺旋状基生；花茎略高于叶，中空，顶生总状花序，高20－35厘米，偶为45厘米，由2－50朵芳香的紫色花组成穗状花序，长2－3.5厘米，管状花被6裂,
28,风信子的繁殖方式,除去鳞茎繁殖外，还可以通过种子进行繁殖。风信子可由不同的昆虫授粉，如蜜蜂,
29,佛肚竹的分布,中国广东省,
29,佛肚竹的用处,常作盆栽观赏,
30,构树的别名有哪些？,楮树、b树（b音构）、钞票树、奶树、当当树、纸木 ，在台湾又俗称鹿仔树。,
30,构树的科和属是什么？,桑科构属,
30,“太平洋构树”的原乡是哪里？,台湾,
30,构树的外形是怎样的？,小枝密布绒毛叶卵形，不裂或不规则3～5深裂构树的雌花雄花枝聚花果呈圆球形，肉质，红色,
31,棕竹的科和属是什么？,棕榈科棕竹属,
31,棕竹的别名有哪些？,观音竹、筋头竹、棕榈竹、矮棕竹,
31,棕竹的原产地是哪里？,中国,
31,棕竹的外形是怎样的？,高1至3米，茎干直立。茎纤细像手指，不分枝，有叶节，有褐色网状纤维的叶鞘。,
31,棕竹喜欢的环境是怎样的？,棕竹喜欢温暖潮湿、半阴及通风良好的环境,
32,枸骨的科和属是什么？,冬青科冬青属,
32,枸骨的外形是怎样的？,高 1 ～ 3 米。幼枝具纵脊及沟，二年枝褐色，三年枝灰白色。叶片厚革质，二型，四角状长圆形或卵形，长4～9公分，宽2～4公分，先端具3枚坚硬刺齿，中央刺齿常反曲，基部圆形或近截形，两侧各具1～2刺齿。叶面深绿色，有光泽，背淡绿色，两面无毛。主脉在上面凹下，背面隆起，侧脉 5 ～ 6对。叶柄长 4 ～ 8 毫米，上面具狭沟。花序簇生于二年生枝的叶腋内。果球形，直径 8 ～ 10 毫米，成熟时鲜红色,
32,枸骨分布在哪里？,分布在欧美、朝鲜以及中国大陆的浙江、江苏、湖南、江西、云南、湖北、上海、安徽等地，生长于海拔150米至1900米的地区，见于山坡及丘陵等的灌丛中,
32,枸骨叶的药性是怎样的？,性平、味微苦甘，功能补阴、清虚热，主治虚劳发热咳嗽、腰膝酸痛等症,
33,野燕麦的科和属是什么？,禾本科燕麦属,
33,野燕麦的外形是怎样的？,高30～150厘米。须根，茎丛生；叶鞘松弛，没有叶耳，叶舌大而透明，这些与麦苗不同；圆锥花序；小穗下垂；纺锤形颖果，被有淡棕色柔毛,
34,瓜叶菊的科和属是什么？,菊科瓜叶菊属,
34,瓜叶菊分布在哪里？,分布于中国的陕西等地,
34,瓜叶菊的外形是怎样的？,株高约10至20公分，叶片大块，似瓜类植物,
35,广东万年青的科和属是什么？,天南星科粗肋草属,
35,广东万年青分布在哪里？,"分布于菲律宾、越南以及中国大陆的广西、云南、广东等地，生长于海拔500米至1,700米的地区，多生于密林中",
36,龟背芋的别名有哪些？,龟背竹、凤梨蕉、蓬莱蕉及电信兰,
36,龟背芋的科和属是什么？,天南星科龟背芋属,
36,龟背芋喜欢怎样的环境？,性喜温暖，潮湿的环境，但也耐阴、耐阳及有一定的耐旱性,
36,龟背芋的原产地是哪里？,墨西哥的热带雨林,
36,龟背芋的外形是怎样的？,叶革质，茎干粗壮，下部常生有褐色气生根。幼叶呈心形，植株在生长过程中的新发叶片逐渐会有不规则的羽状裂口，其因像龟背而得名。花为黄白色的肉穗花序，外具白色的佛焰苞。果实为绿色柱状聚果,
37,海桐的科和属是什么？,海桐科海桐属,
37,海桐的外形是怎样的？,最高可达3米。倒卵状长椭圆形较厚的叶子，有光泽,
37,海桐有怎样的药用价值？,根、叶子和种子都可以入药，根可以祛风活络、散瘀止痛；叶可以解毒、止血；种子可以涩肠、固精。,
38,蓬{的科和属是什么？,蔷薇科悬钩子属,
38,蓬{分布在哪里？,"分布在日本、朝鲜、台湾岛以及中国大陆的江西、福建、浙江、安徽、广东、河南、江苏等地，生长于海拔1,500米的地区，见于山坡路旁阴湿处或灌丛中",
39,蛇莓的科和属是什么？,蔷薇科蛇莓属,
39,蛇莓的外形是怎样的？,有柔毛。复叶，小叶三枚。夏季开黄色花，花单生叶腋。果实为聚合的暗红色瘦果。花托至果期膨大呈头状，海绵质，红色,
39,蛇莓分布在哪里？,分布在南达印度、印度尼西亚、欧洲及美洲、阿富汗东达日本以及中国的辽宁省以南等地，生长于海拔280米至3100米的地区，常生长在山坡、河岸、草地及潮湿的地方,
40,韩信草的别名有哪些？,大韩信草、耳挖草、挖耳草、大力草（广州）、烟管草（江苏无锡）、顺草（贵阳）、顺筋草、顺经草、调羹草、疔疮草、笑药草、龙游香草、偏向花（浙江）、合耳花、三合香（河南商城）、红叶犁头草、红叶犁头尖（湖南永兴）、 蓝花茶匙癀 、虎咬癀、铁灯盏 、油灯盏、向天盏、立浪草（台湾）、昏病草、地苏麻、金锁匙、金茶匙、半枝莲、心叶半枝莲、大叶半枝莲、钩头线、印度黄芩（台湾）等,
40,韩信草为什么有耳挖草之称？,韩信草的花萼于果熟时会增大闭合，待种子飞散后剩下的下唇坚硬状如耳挖,
40,韩信草为什么有立浪草之称？,韩信草的花朵，于风中动仿如一片紫蓝色的波涛向前,
40,韩信草的药性是怎样的？,味道苦、辛，性寒，归心、肺及肝经，能清热解毒、 止血消肿、活血止痛等，主治肺痈、肺热咳喘、皮肤瘙痒、肠痈、 牙痛、咽痛、喉痹、便血、吐血、筋骨疼痛 、创伤出血、跌打损伤及毒蛇咬伤等,
41,旱金莲的目、科和属是什么？,十字花目旱金莲科旱金莲属,
41,旱金莲分布在哪里？,南美洲、秘鲁、玻利维亚至哥伦比亚的安地斯山脉中,
41,旱金莲的药性是怎样的？,金莲花味苦，性寒，无毒，含生物碱、黄酮类，有清热解毒，治上呼吸道感染、扁桃体炎、咽炎、急性中耳炎、急性鼓膜炎、急性淋巴管炎、口疮等功效,
42,红蓼的科和属是什么？,蓼科蓼属,
42,红蓼的别名有哪些？,荭草、大红蓼、大毛蓼、游龙、狗尾巴花,
42,红蓼的外形是怎样的？,成株茎高1～2m，直立，分枝，有节，被密毛。叶片宽卵形或卵形，全缘，两面疏生长毛，叶脉上常较密，有长柄，托叶鞘筒状。花序穗状，顶生或腋生，粉红或玫瑰红色。瘦果扁圆形，种子扁宽卵形，红褐色或黑褐色，顶端微尖，种皮薄,
42,红蓼喜欢怎样的环境？,喜温暖湿润的环境，喜光照充足；宜植于肥沃、湿润之地，也耐瘠薄，适应性强,
43,花叶万年青的别名有哪些？,黛粉叶、白玉黛粉叶、彩叶万年青,
43,花叶万年青的科和属是什么？,天南星科花叶万年青属,
43,花叶万年青被引入到了哪里？,引入到世界各地，包括台湾岛以及中国大陆的福建、广东等地,
44,黄蝉有哪些别名？,硬枝黄蝉、夹竹桃叶黄蝉、小花黄蝉、丛立黄蝉及黄兰蝉,
44,黄蝉的科和属是什么？,夹竹桃科黄蝉属,
44,黄蝉的外形是怎样的？,高约1-2米。叶中脉及侧脉披鳞片状短柔毛，侧脉每边7-12条，背脉隆起，单叶3-5片轮生，卵形、椭圆形或长圆形状，长5-12厘米，阔1.5-4厘米，叶柄短约长1-2毫米。花为聚花序顶生，鲜黄色，花冠呈漏斗形，裂片圆或卵形先端钝，花冠管内带有红褐色条纹，喉部有毛，冠筒细长基部膨大，长4-6厘米。果为蒴果球形，具长剌，结果率高，直径约2-3厘米,
44,黄蝉喜欢怎样的环境？,性喜高温多湿气候，喜欢充足阳光，耐寒性较弱，待土壤干燥时补充水份即可。适合以肥沃或砂质壤土栽培,
45,黄花夹竹桃的科和属是什么？,夹竹桃科黄花夹竹桃属,
45,黄花夹竹桃的外形是怎样的？,树型较夹竹桃高大，高约2-5米，富含乳汁；形状披针形叶子互生；夏秋开黄花，有香气，聚伞花序顶生；扁三角状球形核果，熟时黑色，果实像桃子一样，割切树干时有乳液渗出,
45,黄花夹竹桃的原产地是哪里？,南美洲、中美洲及印度,
46,黄槿的别称有哪些？,黄木槿、朴仔、披麻、铜麻、港麻、海麻、河麻、山加半、桐花、盐水面头果、古老仔、糕仔树及@叶树等,
46,黄槿的科和属是什么？,锦葵科木槿属,
46,黄槿分布在哪些地方？,在中国境内，主要分布于华南地区。台湾、越南、缅甸、柬埔寨、印度、印尼、菲律宾、马来西亚、老挝、澳洲东部、大洋洲等地亦有分布,
46,黄槿有哪些用途？,黄槿有抗盐抗旱的特性，可作为热带海岸地区防风、防沙、防潮的优良树种。叶片可供作蒸煮糕@的枕叶，因而有糕仔树及@叶树等别称。树皮纤维可制作绳索或织网等用途。枝干木材质轻富弹性，可作家俱或薪柴之用。黄槿的叶及树皮可治支气管炎及咳嗽，叶外敷可治肿毒及作洗涤剂之用，根可作解热及催吐剂,
47,芫荽的别名有哪些？,胡荽、香菜、盐须、香茜，广东等地为避衰讳也称芫茜,
47,芫荽作为食物出现在哪些地方？,在中东、地中海、印度、拉丁美洲、中国和东南亚的烹调中经常出现,
48,活血丹的别名有哪些？,遍地香、地钱儿、钹儿草、连钱草、铜钱草、白耳莫、乳香藤等,
48,活血丹的外形是怎样的？,具匍匐茎，上升，逐节生根。茎高10-20厘米，四棱形，基部通常呈淡紫红色，几无毛，幼嫩部分被疏长柔毛,
48,活血丹的药性如何？,其味辛，性凉，即可口服，又可外用，具有利湿通淋、清热解毒、散瘀消肿等功效,
48,活血丹的科和属是什么？,唇形科活血丹属,
49,藿香蓟的科和属是什么？,菊科藿香蓟属,
49,藿香蓟的外形是怎样的？,这种植物株高约0.5C1米，长2C6厘米、宽1-3厘米的卵形或三角形对生叶片，花为白色到浅紫红色或浅蓝色，由多朵细小的管状花聚生而成。披白色柔毛，揉碎后有异臭。果实为黑色线状瘦果,
49,藿香蓟的别名有哪些？,霍香蓟、胜红蓟、一枝香、咸虾花、毛麝香、蝶子草、南风草、柳仔黄、白花草、白花臭草,
49,藿香蓟有怎样的药用价值？,作为一种药用植物，本物种在多种传统医疗文化用作治疗痢疾及腹泻。在传统中医药，藿香蓟可用作治疗「感冒发热、咽喉肿痛，咯血，衄血，崩漏，脘腹疼痛，风湿痹痛」或治疗中耳炎、外伤出血等症,
50,缅栀属植物有哪些别名？,鸡蛋花、印度素馨、鹿角树、番仔花、番花、大季花、蛋黄花、岛屿花,
50,缅栀属植物的外形是怎样的？,可高约3-9公尺，花冠为五裂回旋排列，花瓣外部呈现乳白色，内部艳黄，与鸡蛋相似故得名为鸡蛋花，但也有长出粉红色花的品种。果实为黑褐色木质果实，呈椭圆形，果实成熟时会裂开露出扁平具翅的种子，当割切树干时会有白色乳液渗出,
50,缅栀属植物有怎样的药用价值？,中医认为缅栀花有药用价值，性味甘、微寒，可用作预防中暑、肠炎、细菌性痢疾、消化不良、小儿疳积、传染性肝炎及支气管炎等；亦为凉茶五花茶的主要材料之一。白色乳液外敷可医治疥疮、红肿等症，但误服白色乳液可引致呕吐、恶心、发烧、腹泻、心跳加速、嘴唇红肿。花叶亦可煮水，能治感冒，但因枝叶含乳汁，现今少用,
51,夹竹桃的别名有哪些？,洋夹竹桃或欧洲夹竹桃,
51,夹竹桃的目、科和属是什么？,龙胆目夹竹桃科夹竹桃属,
51,夹竹桃出产在哪里？,夹竹桃出产自摩洛哥及葡萄牙以东至地中海地区及亚洲南部至中国的云南,
51,夹竹桃的外形是怎样的？,本种可以生长至2-6米高，在直立的枝上向外展开。特征为叶轮生，u果呈圆柱状，种子很多，披褐色长毛。叶子成对或三块一组，厚身及革质，呈深绿色，窄而呈尖枪状，长5-21厘米，阔2.5-5厘米，边缘平滑。花朵成束的在枝端长出，成聚花序,
52,荚o的科和属是什么？,五福花科荚o属,
52,荚o的别名有哪些？,o迷、oo,
52,荚o的外形是怎样的？,幼枝绿色被星状毛，近圆形或广卵形的叶子对生，叶背面具星状毛，叶背基部两侧具腺体和腺点；夏季开白色小花，在枝端密集成聚伞花序。红色广卵形的核果,
52,荚o分布在哪里？,分布于台湾、朝鲜、日本以及中国大陆的河南、广东、四川、广西、浙江、河北、江苏、陕西、湖南、云南、安徽、贵州、福建、湖北、江西等地，生长于海拔100米至1000米的地区，多生长于山谷疏林下、林缘、山坡及山脚灌丛中,
53,K花的科和属是什么？,K科K花属,
53,K花的别名有哪些？,水K花、野K花、南K花、水枸K、路边姜、蝴蝶K、良姜、大良姜、大Z荷、洋姜野、洋荷、土姜活、土羌活（四川中药志）、山姜活、山羌活、蝴蝶姜、蝴蝶花、白蝴蝶花、白K花、白草果、英国花、穗花山奈、夜寒舒及立芨等,
53,K花分布在哪里？,原产于印度喜马拉雅山，现分布于印度、锡兰、澳洲、马来西亚、越南及中国南方、台湾，中国国内分布于广西、广东、香港、湖南、四川、云南等地,
54,角堇菜的科和属是什么？,堇菜科堇菜属,
54,角堇菜原产于哪里？,原产西班牙东部、法国南部和安道尔,
54,角堇菜和小花三色堇的区别是什么？,二者的区别在于角堇菜的花朵为纯色，花瓣较窄，侧瓣略微朝下，而小花三色堇往往是杂色，并且花瓣更圆、稍微互相重叠，侧瓣向外或向上,
55,结香的别名有哪些？,“黄瑞香”、“滇瑞香”、“黄花结香”,
55,结香的科和属是什么？,瑞香科结香属,
55,结香与瑞香的区别是什么？,花形跟瑞香很相似，只不过“结香”的花颜色是金黄色的而且被有茸毛，而，瑞香的花蕾是深紫红色，开放后内部呈极淡的红色。跟瑞香相似的是半球形的花序，甚美丽。但是他们最大的区别就是：瑞香四季常青，结香是落叶灌木并且“花先于叶开放”,
56,金苞花的别名有哪些？,黄虾花、小虾花、虾子花、金苞虾衣花,
56,金苞花的原产地在哪里？,原产地为墨西哥、z鲁及南美洲奎亚那,
57,金樱子的科和属是什么？,蔷薇科蔷薇属,
57,金樱子的外形是怎样的？,株高最高可达5米，枝条常弯曲，散生着扁而且弯的钩刺。叶互生，革质，为奇数羽状复叶；小叶3至5片，椭圆形，顶端渐尖，长约1至6厘米，顶生的那片小叶较大，叶子边沿不锯齿。春夏之交开花，花白色，直径较大，可达5至7厘米，花萼有腺毛和皮刺，萼片有5，卵状披针形；花蕊黄色。果实梨形开倒卵形，长约3厘米，直径1至1.5厘米，像爆米花用的炉头，又像酒坛，外面披着刺毛,
57,金樱子原产于哪里？,原产于台湾、老挝、越南以及中国大陆长江以南各省,
57,金樱子的药性是怎样的？,性平，味酸、甘甜，有涩味。归肾、膀胱、大肠经。固精缩尿，涩肠止泻。用于肝肾亏虚，腰膝酸软，遗精，滑精，遗尿，尿频，久虚久痢，肺虚喘咳，自汗、盗汗、带下等,
58,月橘有哪些别名？,里香、九里香、十里香、千里香、万里香、满山香、九秋香、九树香、千只眼、千只眼跌打、千枝叶、臭千只眼、小万年青、青木香、四季香、四时橘、石柃、石芬等,
58,月橘的科和属是什么？,芸香科九里香属,
58,月橘有什么用途？,月橘的花能提炼芳香油，花及熟果可供食用，晒干后的花可泡茶饮用，古时贵族使用月橘的树皮或树脂，与雅香同置薰笼中薰香衣服，木材坚硬可作手杖、印章、农具及小刀柄等，亦常人工栽培作绿篱之用,
59,蜀葵的科和属是什么？,锦葵科蜀葵属,
59,蜀葵有哪些别名？,一丈红、熟季花、麻杆花、戎葵、吴葵、卫足葵、胡葵。在晋语地区俗称为大花,
59,蜀葵的外形是怎样的？,高达2.5米，全株被星状毛，茎木质化，直立，不分枝，通常绿色或绿褐色。叶互生，圆钝形或卵状圆形，有时呈5－7浅裂，直径6－15厘米，先端钝圆，基部心形，边缘具圆齿，掌状脉5－7条；叶柄长2.5－4厘米。花大，有红、紫、白、黄及黑紫各色，单瓣或重瓣，单生于叶腋，直径6－9厘米；小苞片6－7，基部全生，先急尖，里面被长柔毛；萼钟状，5裂，裂片卵形；花瓣花丝连合成筒状，子房多室，每室1胚珠。果扁球形，直径约3厘米，成熟时每心皮自中轴分离,
